

"2020-03-04","1","0",
"2020-03-05","2","0",
"2020-03-06","3","0",
"2020-03-07","4","0",
"2020-03-08","5","0",
"2020-03-09","6","0",
"2020-03-10","7","0",
"2020-03-11","8","0",
"2020-03-12","9","0",
"2020-03-13","10","0",
"2020-03-14","11","1",
"2020-03-15","12","0",
"2020-03-16","13","0",
"2020-03-17","14","0",
"2020-03-18","15","0",
"2020-03-19","16","0",
"2020-03-20","17","0",
"2020-03-21","18","0",
"2020-03-22","19","0",
"2020-03-23","20","0",
"2020-03-24","21","0",
"2020-03-25","22","0",
"2020-03-26","23","0",
"2020-03-27","24","0",
"2020-03-28","25","0",
"2020-03-29","26","0",
"2020-03-30","27","2",
"2020-03-31","28","1",
"2020-04-01","29","1",
"2020-04-02","30","0",
"2020-04-03","31","2",
"2020-04-04","32","0",
"2020-04-05","33","2",
"2020-04-06","34","1",
"2020-04-07","35","2",
"2020-04-08","36","1",
"2020-04-09","37","19",
"2020-04-10","38","0",
"2020-04-11","39","3",
"2020-04-12","40","2",
"2020-04-13","41","7",
"2020-04-14","42","2",
"2020-04-15","43","3",
"2020-04-16","44","2",
"2020-04-17","45","4",
"2020-04-18","46","0",
"2020-04-19","47","0",
"2020-04-20","48","0",
"2020-04-21","49","4",
"2020-04-22","50","5",
"2020-04-23","51","1",
"2020-04-24","52","0",
"2020-04-25","53","19",
"2020-04-26","54","3",
"2020-04-27","55","3",
"2020-04-28","56","2",
"2020-04-29","57","18",
"2020-04-30","58","4",
"2020-05-01","59","0",
"2020-05-02","60","0",
"2020-05-03","61","0",
"2020-05-04","62","1",
"2020-05-05","63","6",
"2020-05-06","64","3",
"2020-05-07","65","10",
"2020-05-08","66","1",
"2020-05-09","67","1",
"2020-05-10","68","2",
"2020-05-11","69","0",
"2020-05-12","70","2",
"2020-05-13","71","8",
"2020-05-14","72","2",
"2020-05-15","73","0",
"2020-05-16","74","0",
"2020-05-17","75","0",
"2020-05-18","76","3",
"2020-05-19","77","0",
"2020-05-20","78","0",
"2020-05-21","79","0",
"2020-05-22","80","6",
"2020-05-23","81","0",
"2020-05-24","82","2",
"2020-05-25","83","0",
"2020-05-26","84","0",
"2020-05-27","85","1",
"2020-05-28","86","4",
"2020-05-29","87","0",
"2020-05-30","88","0",
"2020-05-31","89","0",
"2020-06-01","90","0",
"2020-06-02","91","1",
"2020-06-03","92","0",
"2020-06-04","93","1",
"2020-06-05","94","0",
"2020-06-06","95","0",
"2020-06-07","96","0",
"2020-06-08","97","1",
"2020-06-09","98","0",
"2020-06-10","99","0",
"2020-06-11","100","0",
"2020-06-12","101","0",
"2020-06-13","102","0",
"2020-06-14","103","0",
"2020-06-15","104","0",
"2020-06-16","105","0",
"2020-06-17","106","0",
"2020-06-18","107","1",
"2020-06-19","108","0",
"2020-06-20","109","2",
"2020-06-21","110","1",
"2020-06-22","111","1",
"2020-06-23","112","0",
"2020-06-24","113","1",
"2020-06-25","114","1",
"2020-06-26","115","1",
"2020-06-27","116","2",
"2020-06-28","117","1",
"2020-06-29","118","1",
"2020-06-30","119","7",
"2020-07-01","120","0",
"2020-07-02","121","3",
"2020-07-03","122","2",
"2020-07-04","123","2",
"2020-07-05","124","2",
"2020-07-06","125","1",
"2020-07-07","126","4",
"2020-07-08","127","1",
"2020-07-09","128","10",
"2020-07-10","129","12",
"2020-07-11","130","5",
"2020-07-12","131","5",
"2020-07-13","132","1",
"2020-07-14","133","4",
"2020-07-15","134","10",
"2020-07-16","135","15",
"2020-07-17","136","14",
"2020-07-18","137","22",
"2020-07-19","138","15",
"2020-07-20","139","28",
"2020-07-21","140","68",
"2020-07-22","141","10",
"2020-07-23","142","38",
"2020-07-24","143","11",
"2020-07-25","144","0",
"2020-07-26","145","57",
"2020-07-27","146","1",
"2020-07-28","147","22",
"2020-07-29","148","30",
"2020-07-30","149","124",
"2020-07-31","150","0",
"2020-08-01","151","0",
"2020-08-02","152","0",
"2020-08-03","153","0",
"2020-08-04","154","27",
"2020-08-05","155","46",
"2020-08-06","156","28",
"2020-08-07","157","30",
"2020-08-08","158","33",
"2020-08-09","159","1",
"2020-08-10","160","21",
"2020-08-11","161","113",
"2020-08-12","162","123",
"2020-08-13","163","48",
"2020-08-14","164","64",
"2020-08-15","165","24",
"2020-08-16","166","1",
"2020-08-17","167","2",
"2020-08-18","168","69",
"2020-08-19","169","68",
"2020-08-20","170","55",
"2020-08-21","171","27",
"2020-08-22","172","25",
"2020-08-23","173","22",
"2020-08-24","174","21",
"2020-08-25","175","29",
"2020-08-26","176","46",
"2020-08-27","177","0",
